"world_rank","teaching","international","research","citations","income","total_score","num_students","student_staff_ratio","international_students","female_male_ratio","id"
138,41.5,81.1,48.5,68.4,37.5,54.5,17916,10.2,0.22,1.13,139
138,37.7,56.7,47.5,73.8,99.5,54.5,25294,24.6,0.16,0.35,140
140,33.4,88.3,37.2,86.1,30.6,54.4,12001,17.4,0.35,1.17,141
141,40.2,48.9,36.3,88.1,52.2,54.3,56959,13,0.11,0.96,142
142,40.8,92.6,50.5,63.6,30.2,54.2,34651,20.5,0.25,2.03,143
143,40.3,80.6,39,77.5,39.8,54.1,30144,15,0.27,1.17,144
144,31.1,45.6,34.2,99.9,36.1,53.9,17404,22.7,0.01,1.13,145
144,30.9,89.2,45.6,76.2,56,53.9,11964,13.1,0.22,1.07,146
146,40.3,50.3,40,83.8,34.9,53.8,30538,12.3,0.1,1.44,147
147,38.8,43.4,37.5,87.3,37.9,53.3,23845,10.2,0.12,1.08,148
148,43.3,33.9,40.5,75.9,100,53,9027,10,0.09,0.25,149
149,32.8,85.1,43.2,72.4,79.3,52.9,20771,30.1,0.26,0.92,150
149,31.9,83.5,28.7,92.7,28.5,52.9,14992,14.7,0.28,1.38,151
149,34.1,80.1,45.6,68.8,91.2,52.9,6631,12,0.26,0.59,152
153,51.4,36.7,53.5,53.8,97.5,52.8,24365,20.3,0.09,0.64,153
154,28.4,54.9,37.1,90.7,60.1,52.5,23280,16.3,0.06,1.27,154
155,39,84.4,44.3,63.9,78.1,52.4,12062,14.6,0.21,0.43,155
156,42.2,53.1,38,75,68.5,52.3,43280,43.4,0.11,1.5,156
157,32.8,85.4,30.9,85.9,36.6,52.2,18815,13.6,0.3,1.08,157
158,41.4,47.7,45.8,66.1,99.7,52.1,35487,37.4,0.12,0.72,158
158,39.7,55.8,27.9,89,37,52.1,9390,4.5,0.26,0.96,159
160,41.9,90.5,30.8,75.8,28,52,15521,18,0.25,1.33,160
161,75.4,57.8,66.7,8.6,95.7,51.9,30822,7.7,0.2,0.75,161
161,41.7,64,22.3,90.1,35.5,51.9,15286,5.7,0.14,1,162
163,38.7,38.6,41.8,79.5,32.4,51.7,36429,12.7,0.08,1.08,163
164,32.9,63.3,28,90.7,37.2,51.2,10901,18.3,0.13,1.44,164
164,39.3,85.1,37.3,69.9,34.2,51.2,12050,14.8,0.28,1.22,165
164,44.8,28.5,23.7,92.8,48.9,51.2,6753,5.5,0.07,1.13,166
167,27.5,59.5,33.3,91.2,42.5,51.1,20626,22,0.12,1.04,167
167,32.1,86.6,27.8,86,31.7,51.1,14541,13.4,0.35,1.17,168
167,54.1,27.7,58,47.3,49.6,51.1,31891,11.9,0.07,0.64,169
167,37.3,85.1,29.9,77.8,50,51.1,9990,5,0.18,0.37,170
167,38.7,74.2,40.6,68.4,51,51.1,28856,42,0.19,1.17,171
172,29.7,91.4,31.4,82.6,43.1,51,12938,15.8,0.33,1.17,172
172,31.4,90.5,39.5,69.8,78,51,29787,18.9,0.28,1.17,173
174,38.5,49.2,37.4,78.9,31.1,50.9,47491,12.2,0.1,1.63,174
175,38.5,58.3,46.7,61.9,92.4,50.8,10930,59.1,0.12,1.17,175
176,34.3,71.3,41,70.7,57.3,50.6,8176,16,0.14,0.23,176
176,35,86.3,38.5,70.8,33.5,50.6,22193,24.5,0.23,1.07,177
178,45.8,55.6,41.4,64.6,31.9,50.5,17612,10.7,0.05,1.22,178
179,35.4,74.4,43.9,66.5,39.5,50.3,30726,24.2,0.14,0.82,179
180,28.5,58.3,39.8,81.8,30.3,50.2,26420,16.4,0.12,1.07,180
180,42.5,45.2,23.2,84.5,71.2,50.2,769,8.5,0.17,0.54,181
182,32.5,70,31.5,82.4,36.2,50.1,11623,11.1,0.12,1.5,182
182,30.9,78.1,31.6,82,34.6,50.1,23347,13.1,0.23,1.33,183
182,35.6,30.1,35.3,83.7,57.4,50.1,25674,16.9,0.09,0.82,184
185,28.3,47,25.7,97.3,38.6,49.9,5495,12.6,0.22,1.22,185
185,25.6,78.5,26.9,90.2,49.5,49.9,11628,15.3,0.25,1.5,186
185,34.6,50.9,35.8,79.1,47.9,49.9,26576,38.4,0.08,1.33,187
188,38.7,64.2,29,79.8,28.8,49.8,27603,15,0.17,1.07,188
189,32.4,31.9,38.1,84.6,32,49.7,83236,29.9,0.09,1,189
190,31.6,64.8,40.8,71.7,60.3,49.6,12346,30.3,0.16,1.27,190
190,34.1,60,29.3,83.3,46.8,49.6,13216,17.4,0.19,1.17,191
192,35.2,58.2,23.9,86.4,58.4,49.5,9187,11.2,0.1,0.89,192
193,25,99.8,26.7,84.8,38.1,49.4,5144,15.9,0.52,1,193
193,49.4,47.8,52.4,47.1,46.4,49.4,50657,21.4,0.09,0.89,194
195,37.3,61.1,22.2,83.8,68.4,49.3,6853,6.6,0.16,1.78,195
196,30.9,84.3,27.5,81.5,34.7,49.2,20174,15.2,0.29,1,196
196,25.6,69.5,18.1,100,37.7,49.2,2958,13.4,0.17,1.56,197
198,30.8,55.9,27.4,87.7,47.1,49.1,16841,43.2,0.08,1.04,198
199,30.5,64.9,22.9,91,29,48.9,27756,14.8,0.17,1.7,199
200,34.1,93.4,33.3,68.9,35.7,48.8,17940,17.9,0.3,1.17,200
